var_code,year,presence_count
VAR_ORIG_EW_N,1851,735
VAR_ORIG_EW_N,1861,907
VAR_ORIG_FR_N,1851,225
VAR_ORIG_FR_N,1861,427
VAR_ORIG_GG_N,1851,28
VAR_ORIG_IR_N,1851,765
VAR_ORIG_IR_N,1861,967
VAR_ORIG_IR_N,1871,70
VAR_ORIG_IT_GR_N,1851,33
VAR_ORIG_IT_GR_N,1861,102
VAR_ORIG_JI_N,1851,76
VAR_ORIG_NB_N,1851,239
VAR_ORIG_NB_N,1861,434
VAR_ORIG_NF_N,1851,50
VAR_ORIG_NF_N,1861,178
VAR_ORIG_NS_PEI_N,1851,292
VAR_ORIG_NS_PEI_N,1861,472
VAR_ORIG_NX_N,1851,157
VAR_ORIG_NX_N,1861,226
VAR_ORIG_OTH_N,1851,220
VAR_ORIG_OTH_N,1861,194
