:START_ID,:END_ID,relationship_type,iou:float,from_fraction:float,to_fraction:float,year_from:int,year_to:int,:TYPE
ON037002_1851,ON100011_1861,CONTAINS,0.0361,0.0361,1.0,1851,1861,P134_continued
ON042003_1851,ON105007_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON042004_1851,ON105008_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON020008_1851,ON083009_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON033009_1851,ON096012_1861,CONTAINS,0.8666,0.8666,1.0,1851,1861,P134_continued
ON033009_1851,ON096013_1861,CONTAINS,0.1334,0.1334,1.0,1851,1861,P134_continued
ON033007_1851,ON096004_1861,CONTAINS,0.0201,0.0201,1.0,1851,1861,P134_continued
ON026010_1851,ON105002_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON020007_1851,ON083008_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON020011_1851,ON083012_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON035013_1851,ON098001_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON040010_1851,ON102010_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON020009_1851,ON083011_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON020010_1851,ON083010_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON002004_1851,ON065004_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON002008_1851,ON065008_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON004004_1851,ON067004_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON011009_1851,ON075014_1861,CONTAINS,0.4915,0.4915,1.0,1851,1861,P134_continued
ON011009_1851,ON075010_1861,CONTAINS,0.5085,0.5085,1.0,1851,1861,P134_continued
ON007004_1851,ON070003_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON008005_1851,ON071005_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON008008_1851,ON071009_1861,CONTAINS,0.3376,0.3376,1.0,1851,1861,P134_continued
ON008008_1851,ON071008_1861,CONTAINS,0.6031,0.6031,1.0,1851,1861,P134_continued
ON008008_1851,ON071010_1861,CONTAINS,0.0363,0.0363,1.0,1851,1861,P134_continued
ON008008_1851,ON071013_1861,CONTAINS,0.0231,0.0231,1.0,1851,1861,P134_continued
ON008003_1851,ON071003_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON008999_1851,ON071999_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON008001_1851,ON071001_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON009999_1851,ON084008_1861,CONTAINS,0.2622,0.2622,1.0,1851,1861,P134_continued
ON009999_1851,ON072009_1861,CONTAINS,0.1845,0.1845,1.0,1851,1861,P134_continued
ON009999_1851,ON072004_1861,CONTAINS,0.2847,0.2847,1.0,1851,1861,P134_continued
