:START_ID,:END_ID,during_period,shared_border_length_m:float,:TYPE
NS004003,NS004022,CENSUS_1921,8069.63,P122_borders_with
NS004003,NS004016,CENSUS_1921,7756.38,P122_borders_with
NS004003,NS004015,CENSUS_1921,946.49,P122_borders_with
NS004004,NS004024,CENSUS_1921,6607.56,P122_borders_with
NS004004,NS004018,CENSUS_1921,7673.65,P122_borders_with
NS004004,NS004011,CENSUS_1921,13703.43,P122_borders_with
NS004004,NS004012,CENSUS_1921,5083.45,P122_borders_with
NS004005,NS004011,CENSUS_1921,5501.73,P122_borders_with
NS004005,NS004012,CENSUS_1921,13172.51,P122_borders_with
NS004005,NS004023,CENSUS_1921,9291.09,P122_borders_with
NS004005,NS004022,CENSUS_1921,2909.06,P122_borders_with
NS004006,NS004012,CENSUS_1921,10746.2,P122_borders_with
NS004007,NS004009,CENSUS_1921,5467.16,P122_borders_with
NS004008,NS004014,CENSUS_1921,5725.48,P122_borders_with
NS004008,NS004017,CENSUS_1921,1149.27,P122_borders_with
NS004008,NS004009,CENSUS_1921,6713.52,P122_borders_with
