year_from,year_to,tcpuid_from,tcpuid_to,name_from,name_to,iou,name_similarity,len_diff,cd_name_from,cd_name_to,pr_from
1901,1911,ON060006,ON068004,"Gosfield, North—Nord",Gosfield N,1.0,64.93,10,"Essex, South—Sud",Essex S,ON
1901,1911,ON105006,ON111008,"St. Marys, Town—Ville",St Marys t-v,1.0,64.93,9,"Perth, South—Sud",Perth S,ON
1901,1911,QC191002,QC175003,"Notre-Dame de Stanbridge, Village",Notre-Dame de Stanbridge,1.0,64.95,9,St. Jean & Iberville,Missisquoi,QC
1901,1911,MB007010,MB017003,"Gretna, Village",Gretna vl (T1 R1 MW1),1.0,65.0,6,Lisgar,Lisgar,MB
1901,1911,ON079006,ON088006,"Sarnia, Town—Ville",Sarnia t-v,1.0,65.0,8,"Lambton, West—Ouest",Lambton W-O,ON
1901,1911,ON098001,ON104006,"Oshawa, Town—Ville",Oshawa t-v,1.0,65.0,8,"Ontario, South—Sud",Ontario S,ON
1901,1911,ON098006,ON104007,"Whitby, Town—Ville",Whitby t-v,1.0,65.0,8,"Ontario, South—Sud",Ontario S,ON
1901,1911,ON121001,ON130004,"Berlin, Town—Ville",Berlin t-v,1.0,65.0,8,"Waterloo, North—Nord",Waterloo N,ON
1901,1911,NS040019,NS052010,Beach Meadows,Eagles Head,1.0,65.0,2,Shelburne & Queens,Shelburne & Queens,NS
1901,1911,QC139001,QC144022,Adstock,St. Méthode d'Adstock,1.0,65.0,14,Beauce,Beauce,QC
1901,1911,QC149007,QC154039,Delisle (Sacré-Coeur),Sacré-Coeur de Marie pr,1.0,65.0,2,Chicoutimi & Saguenay,Chicoutimi & Saguenay,QC
