tcpuid,year,persistent_place_id
ON083003,1891,PLACE_ON123005
ON080003,1901,PLACE_ON123005
ON089002,1911,PLACE_ON123005
ON123005,1921,PLACE_ON123005
ON019008,1851,PLACE_ON123008
ON082008,1861,PLACE_ON123008
ON080004,1871,PLACE_ON123008
ON112004,1881,PLACE_ON123008
ON083006,1891,PLACE_ON123008
ON080006,1901,PLACE_ON123008
ON089003,1911,PLACE_ON123008
ON123008,1921,PLACE_ON123008
ON019011,1851,PLACE_ON123011
ON082011,1861,PLACE_ON123011
ON080003,1871,PLACE_ON123011
ON112003,1881,PLACE_ON123011
ON083009,1891,PLACE_ON123011
