wikidata_qid,wikidata_label,place_id,place_type,name,province,year_min,year_max,num_years,num_chains_for_qid
Q1670967,Kings County,CD_NB_King's_1901,CD,King's,NB,1901,1901,1,4
Q1670967,Kings County,CD_NB_Kings,CD,Kings,NB,1921,1921,1,4
Q168855,Killarney,PLACE_MB023005,CSD,Killarney t-v,MB,1911,1911,1,2
Q168855,Killarney,PLACE_MB157010_1921,CSD,"Killarney, T-V",MB,1921,1921,1,2
Q16891177,Esquesing,PLACE_ON014001,CSD,Esquessing,ON,1851,1851,1,2
Q16891177,Esquesing,PLACE_ON117001,CSD,Esquesing,ON,1861,1921,7,2
Q1693101,Shelburne,PLACE_NS019018,CSD,"Shelburne, T-V",NS,1871,1921,4,3
Q1693101,Shelburne,PLACE_NS013003,CSD,"Shelburn, Town—Ville",NS,1881,1881,1,3
Q1693101,Shelburne,PLACE_NS040017_1901,CSD,"Shelburne, Town—Ville",NS,1901,1901,1,3
Q17108580,Lennox County,CD_ON_Lennox,CD,Lennox,ON,1851,1851,1,3
Q17108580,Lennox County,CD_ON_Lennox_1871,CD,Lennox,ON,1871,1901,4,3
Q17108580,Lennox County,CD_ON_Lennox_1921,CD,Lennox,ON,1921,1921,1,3
Q17147002,Kemptville,PLACE_ON113008_1911,CSD,"Kemptville, VL",ON,1861,1921,5,3
